item_id,date,subtag_eng_desc
8236E47D-EC12-4B4A-80D1-89C3281C0327,20211225,03_wealth_view_ind
8236E47D-EC12-4B4A-80D1-89C3281C0327,20211225,03_investment_ind
8236E47D-EC12-4B4A-80D1-89C3281C0327,20211225,03_account_only
0266753B-F0CD-4604-80F5-B0AF13CEABFC,20211225,03_wealth_view_ind
0266753B-F0CD-4604-80F5-B0AF13CEABFC,20211225,03_no_fc_cust
0266753B-F0CD-4604-80F5-B0AF13CEABFC,20211225,03_investment_ind
0266753B-F0CD-4604-80F5-B0AF13CEABFC,20211225,03_wealth_manage_cust_new
0266753B-F0CD-4604-80F5-B0AF13CEABFC,20211225,03_account
B105ECE3-B0EA-4F0F-A4B7-1EE39B3CCA64,20211225,03_mobile_active
B105ECE3-B0EA-4F0F-A4B7-1EE39B3CCA64,20211225,03_wealth_view_ind
B105ECE3-B0EA-4F0F-A4B7-1EE39B3CCA64,20211225,03_forex_digital_account
B105ECE3-B0EA-4F0F-A4B7-1EE39B3CCA64,20211225,03_personal_loan_account_cust
B105ECE3-B0EA-4F0F-A4B7-1EE39B3CCA64,20211225,03_investment_ind
5B30D575-6F89-45FF-9AF5-711A4EBF8ABC,20211225,03_mobile_active
5B30D575-6F89-45FF-9AF5-711A4EBF8ABC,20211225,03_wealth_view_ind
5B30D575-6F89-45FF-9AF5-711A4EBF8ABC,20211225,03_forex_digital_account
5B30D575-6F89-45FF-9AF5-711A4EBF8ABC,20211225,03_personal_loan_account_cust
5B30D575-6F89-45FF-9AF5-711A4EBF8ABC,20211225,03_investment_ind
FEEEC85F-70AA-4AAC-9F10-5F8DFFDD0FCC,20211225,03_credit_card_only
FEEEC85F-70AA-4AAC-9F10-5F8DFFDD0FCC,20211225,03_account
8257CFB6-5B6C-49CE-A322-16F2672ACFFF,20211225,03_credit_card_account
8257CFB6-5B6C-49CE-A322-16F2672ACFFF,20211225,03_credit_card_only
8257CFB6-5B6C-49CE-A322-16F2672ACFFF,20211225,03_card_pi_only_ubear
8257CFB6-5B6C-49CE-A322-16F2672ACFFF,20211225,03_credit_card_account_pi_only_ubear
58B076AA-8051-4191-AA7A-0A260AD09DA6,20211225,03_forex_cust_new
58B076AA-8051-4191-AA7A-0A260AD09DA6,20211225,03_account
58B076AA-8051-4191-AA7A-0A260AD09DA6,20211225,03_investment_ind
58B076AA-8051-4191-AA7A-0A260AD09DA6,20211225,03_foreignrate_view_ind
58B076AA-8051-4191-AA7A-0A260AD09DA6,20211225,03_foreign_view_ind
7D474808-EF2C-4F82-8367-D5B07FB6E81D,20211225,03_efingo_member
7D474808-EF2C-4F82-8367-D5B07FB6E81D,20211225,03_birth_month
CCC7EF21-EE24-4269-A2D0-362498A0B9B1,20211225,03_credit_card_only
CCC7EF21-EE24-4269-A2D0-362498A0B9B1,20211225,03_card_pi_only_ubear
CCC7EF21-EE24-4269-A2D0-362498A0B9B1,20211225,03_credit_card_account_pi_only_ubear
CCC7EF21-EE24-4269-A2D0-362498A0B9B1,20211225,03_credit_card_account
3DFFE90A-202A-4760-B298-5B1FE0C75C65,20211225,03_credit_card_only
1D9673FE-FFA2-4C6D-A881-B2E0249F3E07,20211225,03_credit_card_account_pi_only_ubear
1D9673FE-FFA2-4C6D-A881-B2E0249F3E07,20211225,03_card_pi_only_ubear
1D9673FE-FFA2-4C6D-A881-B2E0249F3E07,20211225,03_account_only
1D9673FE-FFA2-4C6D-A881-B2E0249F3E07,20211225,03_credit_card_account
FD90B0DB-8DB1-40FD-8BBF-C9456D844C40,20211225,03_efingo_member
6F7D9370-71D9-4788-B62E-4780DC74EF57,20211225,03_credit_card_only
6F7D9370-71D9-4788-B62E-4780DC74EF57,20211225,03_account_only
1CCC4C0F-D52A-4CEE-909E-8A6FADA766D5,20211225,03_wealth_view_ind
1CCC4C0F-D52A-4CEE-909E-8A6FADA766D5,20211225,03_no_fc_cust
1CCC4C0F-D52A-4CEE-909E-8A6FADA766D5,20211225,03_investment_ind
1CCC4C0F-D52A-4CEE-909E-8A6FADA766D5,20211225,03_account
F7CC8738-438D-4D73-81E9-91C8D585A4EE,20211225,03_forex_cust_old
F7CC8738-438D-4D73-81E9-91C8D585A4EE,20211225,03_forex_digital_account
F7CC8738-438D-4D73-81E9-91C8D585A4EE,20211225,03_foreign_view_ind
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_no_fc_cust
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_wealth_view_ind
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_investment_ind
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_account
6E5FF976-F3EE-4806-BB8A-F1B6D1548801,20211225,03_account_only
6E5FF976-F3EE-4806-BB8A-F1B6D1548801,20211225,03_account
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_digital_account
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_cust_new
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_foreignrate_view_ind
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_foreign_view_ind
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_cust_old
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_account
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_account_only
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_credit_card_only
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_wealth_view_ind
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_no_fc_cust
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_investment_ind
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_account
